he his father's 
nationalistic nationalism nationalist 

realistic nationalistic journalistic 
realism nationalism journalism 

realistic nationalistic journalistic 
realist nationalist journalist 

reject rejects rejecting 
propose proposes proposing 

legislatures parliaments constituents 
legislator parliament constituency 

investors investor investing 
investigators investigator investigating 

investors investments finances 
investor investment finance 

investors invested investor 
investigators investigated investigator 

investors inventors typewriters 
investor inventor typewriter 

investors bankers landowners 
investor banker landowner 

syllable consonant phoneme 
syllables consonants phonemes 

syllable phoneme morpheme 
syllables phonemes morphemes 

lips lip limp 
slips slip slipknot 

debates debated debating 
discusses discussed discussing 

debates advocates opposes 
debated advocated opposed 

decorative decorate decorating 
commemorative commemorate commemorating 

packed sucked plucked 
packing sucking plucking 

packed lacked stacked 
packs lacks stacks 

packed lacked cracked 
packing lacking cracking 

packed cracked sucked 
packing cracking sucking 

packed backed lacked 
packing backing lacking 

packed sacked stacked 
packs sacks stacks 

packed packs packing 
lacked lacks lacking 

packed packet packets 
packaged package packages 

compression impression oppression 
compressed impressed oppressed 

compression suppression oppression 
compressed suppressed oppressed 

cartridge shotgun handgun 
cartridges shotguns handguns 

integration integrate integrating 
coordination coordinate coordinating 

integration coordination termination 
integrating coordinating terminating 

injection injected injecting 
inhalation inhaled inhaling 

injection intoxication inhalation 
injected intoxicated inhaled 

raids rebellions conquests 
raided rebelled conquered 

successes successive successively 
progresses progressive progressively 

brightest brighter brightly 
lightest lighter lightly 

brightest brightness brightly 
lightest lightness lightly 

brightest darkest lightest 
brighter darker lighter 

leopard giraffe lemur 
leopards giraffes lemurs 

leopard antelope squirrel 
leopards antelopes squirrels 

downloaded uploaded reloaded 
downloading uploading reloading 

hymn sermon psalm 
hymns sermons psalms 

hymn apostle disciple 
hymns apostles disciples 

disturbed disturbing optimistic 
disgusted disgusting sarcastic 

disturbed intensified persisted 
disturb intensify persistent 

devotion emotion motivation 
devotional emotional motivational 

grasslands woodlands lowlands 
grassland woodland lowland 

grasslands lowlands uplands 
grassland lowland upland 

enabled enable enables 
ensured ensure ensures 

enabled enables enabling 
ensured ensures ensuing 

enabled ensured overwhelmed 
enabling ensuing overwhelming 

sinking shipwreck shipwrecks 
wrecking wreck wrecks 

sinking shipwrecks shipwrecked 
wrecking wrecks wrecked 

balloon bucket blanket 
balloons buckets blankets 

decorations carvings engravings 
decorating carving engraving 

decorations ceilings engravings 
decorating ceiling engraving 

quotation imitation temptation 
quotations limitations temptations 

basket bucket blanket 
baskets buckets blankets 

interrupted interrupt interruption 
disrupted disrupt disruption 

interrupted interrupt interruption 
interned intern internment 

interrupted disrupted corrupted 
interrupt disrupt corrupt 

interrupted disrupted corrupted 
interruption disruption corruption 

interrupted interred interrogated 
interruption interregnum interrogation 

interrupted interned interred 
interruption internment interregnum 

acronym synonym idiom 
acronyms synonyms idioms 

acronym idiom morpheme 
acronyms idioms morphemes 

willie ollie nellie 
willy jolly nelly 

transformation transaction deduction 
transformations transactions deductions 

illustrations illustration illustrating 
depictions depiction depicting 

illustrations depictions illusions 
illustration depiction illusion 

illustrations depictions reflections 
illustrating depicting reflecting 

audition rehearsal recital 
auditions rehearsals recitals 

audition ambition expectation 
auditions ambitions expectations 

commuter freeway walkway 
commuters freeways walkways 

policeman gunman fireman 
policemen gunmen firemen 

explosions explode exploding 
collisions collide colliding 

explosions exploded exploding 
collisions collided colliding 

richardson robertson stephenson 
richard's robert's stephen's 

secured negotiated cooperated 
securing negotiating cooperating 

tiles piles pebbles 
tile pile pebble 

exports exported exporting 
imports imported importing 

exports imports extracts 
exported imported extracted 

exploded explode exploding 
collided collide colliding 

exploded collided drifted 
exploding colliding drifting 

choreographer cinematographer cartographer 
choreography cinematography cartography 

anthropology zoology paleontology 
anthropologist zoologist paleontologist 

anthropology scientology palaeontology 
anthropologists scientists palaeontologists 

anthropology paleontology microbiology 
anthropologist paleontologist microbiologist 

anthropology anthropologist anthropologists 
archaeology archaeologist archaeologists 

anthropology microbiology neurology 
anthropologist microbiologist neurologist 

anthropology archaeology paleontology 
anthropologist archaeologist paleontologist 

anthropology archaeology palaeontology 
anthropologists archaeologists palaeontologists 

migrate migrants migrant 
emigrate emigrants emigrant 

archaeology paleontology microbiology 
archaeologist paleontologist microbiologist 

archaeology zoology paleontology 
archaeologist zoologist paleontologist 

conviction prosecution tribunal 
convictions prosecutions tribunals 

conviction violation obligation 
convictions violations obligations 

meteorological meteorology meteorologist 
astrological astrology astrologer 

meteorological astrological topological 
meteorology astrology topology 

meteorological neurological astrological 
meteorologist neurologist astrologer 

meteorological astronautical astrological 
meteorologist astronaut astrologer 

song's gaga's 1's 
kong's asia's uk's 

calculation calculating calculators 
computation computing computers 

calculation calculators calculator 
accumulation accumulators accumulator 

impulse pulse pulsar 
impulses pulses pulsars 

printer typewriter amplifier 
printers typewriters amplifiers 

extract extraction extracting 
subtract subtraction subtracting 

separator separatist fundamentalist 
separators separatists fundamentalists 

reflection reflecting reflections 
depiction depicting depictions 

reflection illustration depiction 
reflections illustrations depictions 

panda banda landau 
bandicoot bandit landis 

dessert sausage noodle 
desserts sausages noodles 

bohemia silesia frisia 
bohemian silesian frisian 

advised advise advisors 
supervised supervise supervisors 

advised consulted insulted 
advise consult insult 

half-brother brother's brother-in-law 
half-sister sister's sister-in-law 

murderer murdering murderers 
kidnap kidnapping kidnappers 

disliked discouraged outraged 
dislike discourage outrage 

seller buyer retailer 
sellers buyers retailers 

seller dealer banker 
sellers dealers bankers 

camping hiking surfing 
campers hikers surfers 

prediction notion caution 
predictions notions precautions 

specify verify notify 
specification verification notification 

targeted marketed advertised 
targeting marketing advertising 

tuned plucked chewed 
tuning plucking chewing 

rushed brushed nailed 
rushes brushes nails 

rushed rushes lashes 
brushed brushes flashes 

semiconductor semiconductors conduit 
insulator insulators consulate 

semiconductor insulator resistor 
semiconductors insulators resistors 

semiconductor transistor resistor 
semiconductors transistors resistors 

petition ambition expectation 
petitions ambitions expectations 

limitations citations quotations 
imitation citation quotation 

limitations expectations temptations 
imitation expectation temptation 

limitations violations accusations 
limiting violating accusing 

limitations presentations outstations 
imitation presentation outstation 

limitations interpretations quotations 
imitation interpretation quotation 

limitations quotations temptations 
imitation quotation temptation 

innovation accommodation commodity 
innovations accommodations commodities 

innovation simulation computation 
innovations simulations computations 

tightly lightly nightly 
tights lights nights 

tightly brightly lightly 
tighter brighter lighter 

examined researched analysed 
examines researches analyses 

examined surveyed mapped 
examining surveying mapping 

slowed drifted exited 
slowing drifting exiting 

georgetown uptown freetown 
claremont rosemont fremont 

guaranteed benefited ensured 
guarantees benefits ensures 

robbed stabbed grabbed 
robbing stabbing grabbing 

robbed grabbed rubbed 
robbing grabbing rubbing 

cricketer batsman catcher 
crickets bats catches 

hertfordshire bedfordshire leicestershire 
hertford bedford leicester 

jackets jacket jacks 
packets packet packs 

jackets packets sockets 
jacket packet socket 

jackets pockets sockets 
